estimated_delivery_days,order_total_value,avg_freight_value,n_items,payment_installments,purchase_month,purchase_day_of_week,customer_state,primary_seller_state,primary_product_category,payment_type,is_delayed
22.99295138888889,38.24,18.24,1,1.0,6,1,MG,SP,automotivo,credit_card,0
29.124699074074076,63.42,23.43,1,1.0,6,5,BA,SP,cama_mesa_banho,voucher,0
7.112766203703703,57.99,9.09,1,1.0,8,1,SP,SP,bebes,credit_card,0
23.100891203703704,416.54,17.54,1,2.0,12,1,SP,RJ,beleza_saude,credit_card,0
21.92653935185185,167.20000000000002,17.3,1,1.0,7,0,RJ,SP,moveis_decoracao,boleto,0
11.540891203703705,62.9,13.01,1,2.0,8,5,SP,SP,beleza_saude,credit_card,0
34.53737268518518,89.96,22.97,1,1.0,6,0,MG,MA,beleza_saude,credit_card,0
23.029756944444443,108.2,18.21,1,2.0,4,0,RJ,SP,cool_stuff,credit_card,0
20.374675925925924,96.48,9.34,2,1.0,12,0,SP,SP,consoles_games,credit_card,0
27.018402777777776,163.24,13.34,1,2.0,5,2,SP,PE,informatica_acessorios,credit_card,0
22.43841435185185,162.03,27.03,1,1.0,3,1,GO,SP,moveis_decoracao,boleto,0
14.428842592592591,53.48,7.58,1,1.0,8,0,SP,SP,informatica_acessorios,credit_card,0
19.01141203703704,82.63,12.83,1,2.0,11,5,SP,SP,utilidades_domesticas,credit_card,0
23.377858796296294,77.22,17.67,1,7.0,7,5,RJ,SP,moveis_decoracao,credit_card,0
21.33380787037037,166.62,19.72,1,6.0,4,6,SP,GO,beleza_saude,credit_card,0
15.236875,270.94,20.94,1,2.0,7,0,PR,SP,bebes,credit_card,0
13.343842592592592,66.47,8.57,1,1.0,8,1,SP,SP,sinalizacao_e_seguranca,boleto,0
30.599756944444444,189.84,50.84,1,3.0,1,0,GO,MG,ferramentas_jardim,credit_card,0
12.169328703703703,133.64,13.74,1,1.0,3,2,SP,SP,automotivo,boleto,0
24.192210648148148,72.72999999999999,16.83,1,3.0,11,0,RJ,SC,pet_shop,credit_card,0
24.20461805555556,228.33,16.765,2,2.0,11,5,RJ,SP,cama_mesa_banho,credit_card,0
29.56046296296296,816.1600000000001,16.21,1,10.0,4,5,RJ,RJ,climatizacao,credit_card,0
30.55267361111111,219.82,26.41,2,1.0,4,0,RS,SP,ferramentas_jardim,credit_card,0
23.05471064814815,105.66,13.66,1,4.0,2,0,SP,SP,cama_mesa_banho,credit_card,0
14.018425925925929,90.93,10.94,1,1.0,5,2,ES,SP,beleza_saude,boleto,0
36.125972222222224,144.12,24.22,1,6.0,3,6,RJ,RS,esporte_lazer,credit_card,0
15.22363425925926,122.42,7.42,1,5.0,5,0,SP,SP,relogios_presentes,credit_card,0
29.103125,218.27,19.27,1,1.0,4,5,SC,SP,cama_mesa_banho,boleto,1
23.34408564814815,377.46,21.46,1,1.0,5,1,PR,SP,eletronicos,boleto,0
12.405625,65.78,7.78,1,1.0,5,3,SP,SP,market_place,credit_card,0
29.34630787037037,45.61,16.11,1,1.0,12,6,RS,SC,esporte_lazer,boleto,0
28.20453703703704,426.91,46.96,2,6.0,10,3,RN,MG,utilidades_domesticas,credit_card,0
28.61170138888889,316.26,18.23,2,10.0,5,0,RS,SP,moveis_decoracao,credit_card,0
19.568738425925925,39.28,7.78,1,1.0,12,2,SP,SP,beleza_saude,boleto,0
29.01200231481481,336.13,17.99,1,7.0,12,0,GO,SP,perfumaria,credit_card,1
